WKT,LANUV_ID,Leistung_k
"MULTIPOINT ((422899.4125 5741868.2499))",WEA_1083,1500.00000000000
"MULTIPOINT ((472156 5674970))",WEA_1086,33.00000000000
"MULTIPOINT ((437522.3 5735812.5375))",WEA_1089,1000.00000000000
"MULTIPOINT ((438112 5736450))",WEA_1091,1000.00000000000
"MULTIPOINT ((397693 5780600))",WEA_1095,50.00000000000
"MULTIPOINT ((431480 5707190))",WEA_1096,50.00000000000
"MULTIPOINT ((445896 5704420))",WEA_1104,75.00000000000
"MULTIPOINT ((453651 5707100))",WEA_1108,600.00000000000
"MULTIPOINT ((467884 5712980))",WEA_1122,600.00000000000
"MULTIPOINT ((467755 5712860))",WEA_1123,600.00000000000
"MULTIPOINT ((430614 5706360))",WEA_1124,175.00000000000
"MULTIPOINT ((488912 5708500))",WEA_1130,1115.00000000000
"MULTIPOINT ((490994 5727160))",WEA_1137,600.00000000000
"MULTIPOINT ((461183 5707420))",WEA_1139,200.00000000000
"MULTIPOINT ((461200 5707330))",WEA_1140,200.00000000000
"MULTIPOINT ((461218 5707220))",WEA_1141,200.00000000000
"MULTIPOINT ((461395.643 5707449.937))",WEA_1148,500.00000000000
"MULTIPOINT ((422951 5694070))",WEA_1210,250.00000000000
"MULTIPOINT ((476248 5695910))",WEA_1224,250.00000000000
"MULTIPOINT ((318301 5592520))",WEA_1234,800.00000000000
"MULTIPOINT ((486124 5717480))",WEA_1247,600.00000000000
"MULTIPOINT ((486846 5718040))",WEA_1248,600.00000000000
"MULTIPOINT ((486630 5717560))",WEA_1250,600.00000000000
"MULTIPOINT ((486391 5718500))",WEA_1256,600.00000000000
"MULTIPOINT ((455706 5706760))",WEA_1283,600.00000000000
"MULTIPOINT ((436378 5768730))",WEA_1314,2000.00000000000
"MULTIPOINT ((441648 5736180))",WEA_1323,95.00000000000
"MULTIPOINT ((478625 5699280))",WEA_1328,750.00000000000
"MULTIPOINT ((479512 5699330))",WEA_1329,750.00000000000
"MULTIPOINT ((489012 5708280))",WEA_1343,1115.00000000000
"MULTIPOINT ((449599 5708050))",WEA_1352,600.00000000000
"MULTIPOINT ((449795 5708520))",WEA_1353,600.00000000000
"MULTIPOINT ((453847 5707260))",WEA_1355,600.00000000000
"MULTIPOINT ((454361.025 5707119.705))",WEA_1358,600.00000000000
"MULTIPOINT ((482479 5712590))",WEA_1366,600.00000000000
"MULTIPOINT ((481956 5712410))",WEA_1367,600.00000000000
"MULTIPOINT ((438077.719 5736860.04))",WEA_1376,600.00000000000
"MULTIPOINT ((438374.8125 5737080.0))",WEA_1378,1800.00000000000
"MULTIPOINT ((478538 5699650))",WEA_1382,1500.00000000000
"MULTIPOINT ((478880 5700220))",WEA_1383,1500.00000000000
"MULTIPOINT ((478986 5699280))",WEA_1384,1500.00000000000
"MULTIPOINT ((478994 5699560))",WEA_1385,1500.00000000000
"MULTIPOINT ((479060 5698990))",WEA_1386,1500.00000000000
"MULTIPOINT ((479465 5699530))",WEA_1387,1500.00000000000
"MULTIPOINT ((370907 5689180))",WEA_1392,80.00000000000
"MULTIPOINT ((398448 5770730))",WEA_1405,80.00000000000
"MULTIPOINT ((398306 5770600))",WEA_1406,300.00000000000
"MULTIPOINT ((457477 5704910))",WEA_1412,600.00000000000
"MULTIPOINT ((456211.0 5685050.794))",WEA_1424,1500.00000000000
"MULTIPOINT ((443317 5727160))",WEA_1485,850.00000000000
"MULTIPOINT ((488494 5709560))",WEA_1486,1650.00000000000
"MULTIPOINT ((487199 5709690))",WEA_1487,1650.00000000000
"MULTIPOINT ((487297 5709150))",WEA_1488,1650.00000000000
"MULTIPOINT ((487453 5708890))",WEA_1490,1650.00000000000
