WKT,LANUV_ID,Leistung_k
"MULTIPOINT ((496396 5731289))","0212",165.24000000000
"MULTIPOINT ((496281 5730752))","0218",124.18500000000
"MULTIPOINT ((445305 5689710))","0227",1234.80000000000
"MULTIPOINT ((461072 5703236))","0230",1548.50000000000
"MULTIPOINT ((381213 5787891))","0241",698.82000000000
"MULTIPOINT ((465472 5799096))","0243",627.20000000000
"MULTIPOINT ((469694 5772539))","0245",2001.65000000000
"MULTIPOINT ((467403 5721457))","0253",1034.88000000000
"MULTIPOINT ((332264 5663298))","0254",430.56000000000
"MULTIPOINT ((517366 5717643))","0262",490.36000000000
"MULTIPOINT ((499592 5765193))","0264",1421.51500000000
"MULTIPOINT ((499627 5765342))","0265",655.61500000000
"MULTIPOINT ((447191 5690004))","0267",3788.80000000000
"MULTIPOINT ((404605 5811733))","0272",992.64000000000
"MULTIPOINT ((496246 5730867))","0280",269.50000000000
"MULTIPOINT ((362221 5731772))","0282",992.68000000000
"MULTIPOINT ((313527 5662775))","0286",748.44000000000
"MULTIPOINT ((295167.1793 5641649.3308))","0293",3784.99500000000
"MULTIPOINT ((462049.6778 5752072.9708))","0296",3520.00000000000
"MULTIPOINT ((329239.4885 5637504.5508))","0300",2054.40000000000
"MULTIPOINT ((420196.0893 5704700.9936))","0302",69.50000000000
"MULTIPOINT ((451008.7394 5706418.5186))","0303",143.00000000000
"MULTIPOINT ((355088.9606 5709060.339))","0304",748.44000000000
"MULTIPOINT ((470271.6188 5709840.8997))","0305",184.80000000000
"MULTIPOINT ((454425.3103 5721186.0389))","0307",777.63000000000
"MULTIPOINT ((380068.4777 5741556.0912))","0309",746.46000000000
"MULTIPOINT ((290267.2929 5635507.3772))","0313",747.00000000000
"MULTIPOINT ((290267.2929 5635507.3772))","0314",1259.65000000000
"MULTIPOINT ((301987.8277 5638871.526))","0315",699.66000000000
"MULTIPOINT ((496416.2571 5747692.6368))","0320",315.00000000000
"MULTIPOINT ((490576.4444 5754898.2274))","0321",335.00000000000
"MULTIPOINT ((313069.6182 5682761.1315))","0326",1999.20000000000
"MULTIPOINT ((370451.4094 5698328.9196))","0328",99.45000000000
"MULTIPOINT ((496241.878 5730359.8479))","0209",200.07000000000
"MULTIPOINT ((449324.2077 5768899.8863))","0331",748.44000000000
"MULTIPOINT ((313493.2293 5662696.5213))","0356",583.74000000000
"MULTIPOINT ((335822.4986 5701008.5634))","0348",3044.10000000000
"MULTIPOINT ((427425.8117 5705749.8742))","0347",514.60000000000
"MULTIPOINT ((392716.232 5769197.7686))","0338",749.84000000000
"MULTIPOINT ((454689.379 5706066.1558))","0332",749.67000000000
"MULTIPOINT ((304513.0563 5630044.1587))","0351",746.24000000000
"MULTIPOINT ((303209.0249 5630749.6339))","0210",648.00000000000
"MULTIPOINT ((421659.2117 5688430.3927))","0360",110.89500000000
"MULTIPOINT ((454703.3296 5689464.5311))","0359",175.95000000000
"MULTIPOINT ((385122.7215 5702362.3207))","0124",194.92000000000
"MULTIPOINT ((517436.5853 5717826.574))","0283",499.20000000000
"MULTIPOINT ((466610.6599 5719891.494))","0346",747.50000000000
"MULTIPOINT ((496138.9751 5773977.9493))","0312",749.99500000000
"MULTIPOINT ((389594.1419 5776229.5729))","0362",689.04000000000
"MULTIPOINT ((407055.5838 5796498.6965))","0352",749.00000000000
"MULTIPOINT ((467666.0014 5721725.4342))","0354",749.84000000000
"MULTIPOINT ((347513.7379 5634973.5077))","0269",3010.56000000000
"MULTIPOINT ((468724.366 5812508.4666))","0098",379.50000000000
"MULTIPOINT ((477783.9898 5707416.6329))","0371",37.44000000000
"MULTIPOINT ((380311.4663 5761192.7683))","0125",2802.14000000000
"MULTIPOINT ((418583.0969 5683605.8504))","0366",94.50000000000
"MULTIPOINT ((432012.9746 5645688.6367))","0365",254.00000000000
"MULTIPOINT ((465211.275 5716237.3461))","0364",749.00000000000
"MULTIPOINT ((455164.5158 5810039.074))","0261",553.35000000000
"MULTIPOINT ((324839.8612 5637266.6922))","0381",747.30000000000
"MULTIPOINT ((426196.5171 5712622.1272))","0211",748.80000000000
"MULTIPOINT ((445721.9034 5743832.3265))","0377",488.30000000000
"MULTIPOINT ((445977.3538 5743958.3753))","0369",746.24000000000
"MULTIPOINT ((458642.6069 5755481.4347))","0343",74.40000000000
"MULTIPOINT ((428108.584 5761668.9798))","0036",200.00000000000
"MULTIPOINT ((392534.2127 5769667.5638))","0376",2058.60000000000
"MULTIPOINT ((381662.1847 5773093.0487))","0337",1643.95000000000
"MULTIPOINT ((466514.5751 5773719.2913))","0257",2805.12000000000
"MULTIPOINT ((418080.6166 5801876.0725))","0374",70.03000000000
"MULTIPOINT ((418080.7639 5801876.7376))","0234",1104.66000000000
"MULTIPOINT ((417889.9252 5801959.1278))","0373",749.91000000000
"MULTIPOINT ((324903.2939 5626472.6317))","0393",66.78000000000
"MULTIPOINT ((443794.0946 5678690.4723))","0391",76.36000000000
"MULTIPOINT ((466449.6045 5680036.7273))","0390",52.02000000000
"MULTIPOINT ((445188.4485 5689733.9794))","0226",4048.38000000000
"MULTIPOINT ((420246.5124 5704873.6036))","0388",749.10000000000
"MULTIPOINT ((479536.1688 5767978.9989))","0386",749.99500000000
"MULTIPOINT ((480780.5661 5770465.9348))","0385",490.88000000000
"MULTIPOINT ((496161.0398 5773910.7522))","0384",749.70000000000
"MULTIPOINT ((375464.5203 5784831.2913))","0394",749.99500000000
"MULTIPOINT ((407296.9102 5796861.2045))","0074",1088.10000000000
"MULTIPOINT ((490539.461 5715200.615))","0395",96.80000000000
"MULTIPOINT ((417888.9774 5801959.4774))","0292",749.84000000000
"MULTIPOINT ((429082.5981 5701800.2627))","0396",216.00000000000
"MULTIPOINT ((412585.8824 5679269.7712))","0399",114.24000000000
"MULTIPOINT ((499626.3143 5765340.2292))","0191",2162.16000000000
"MULTIPOINT ((499565.1886 5765216.4423))","0263",810.75000000000
"MULTIPOINT ((499156.1206 5746612.7289))","0202",774.24000000000
"MULTIPOINT ((443955.1957 5741816.9949))","0278",3384.00000000000
"MULTIPOINT ((390249.1965 5711688.4207))","0401",3592.11000000000
"MULTIPOINT ((410506.0794 5794420.7062))","0097",1911.00000000000
"MULTIPOINT ((345885.0518 5645354.5111))","0434",749.90000000000
"MULTIPOINT ((501967.1609 5708107.459))","0428",749.76000000000
"MULTIPOINT ((466562.3742 5716269.5072))","0424",749.70000000000
"MULTIPOINT ((392538.4316 5769589.8092))","0416",749.36000000000
"MULTIPOINT ((476141.111 5781457.7175))","0413",749.70000000000
"MULTIPOINT ((487291.1616 5784092.642))","0412",748.80000000000
"MULTIPOINT ((439036.7278 5707710.3966))","0461",749.89000000000
"MULTIPOINT ((491023.2463 5715614.3329))","0460",96.80000000000
"MULTIPOINT ((325764.323 5587333.1057))","0155",3158.40000000000
"MULTIPOINT ((320376.7834 5603477.7056))","0077",1345.96000000000
"MULTIPOINT ((320417.3679 5603546.8847))","0273",507.15000000000
"MULTIPOINT ((330112.9002 5605077.2345))","0156",3769.92000000000
"MULTIPOINT ((330794.4383 5605024.9557))","0157",971.04000000000
"MULTIPOINT ((420028.6982 5662715.595))","0469",58.80000000000
"MULTIPOINT ((464547.0039 5676705.0457))","0289",705.87000000000
"MULTIPOINT ((409596.8477 5694987.4202))","0471",99.45000000000
"MULTIPOINT ((335614.8432 5701010.9244))","0349",749.71000000000
"MULTIPOINT ((332283.6858 5704287.9584))","0274",3505.92000000000
"MULTIPOINT ((493980.7711 5704939.0674))","0473",83.30000000000
"MULTIPOINT ((425152.4806 5705910.5463))","0429",748.72500000000
"MULTIPOINT ((465115.9971 5722086.3923))","0355",749.84000000000
"MULTIPOINT ((518111.645 5723084.0619))","0223",4421.76000000000
"MULTIPOINT ((303123.2064 5727067.2141))","0422",749.76000000000
"MULTIPOINT ((505207.0051 5729591.1766))","0474",1637.82500000000
"MULTIPOINT ((505356.2142 5729599.3405))","0194",1877.79000000000
"MULTIPOINT ((505191.5865 5729604.0619))","0162",3200.09000000000
"MULTIPOINT ((505043.9221 5729778.0788))","0196",1796.55000000000
"MULTIPOINT ((513869.5844 5739271.7138))","0190",3156.68000000000
"MULTIPOINT ((513955.2102 5739498.9504))","0195",1458.00000000000
"MULTIPOINT ((445724.8638 5743889.4669))","0242",902.58000000000
"MULTIPOINT ((445834.6627 5743919.3141))","0466",514.50000000000
"MULTIPOINT ((472376.4124 5753301.7655))","0464",96.00000000000
"MULTIPOINT ((412434.0154 5761827.2787))","0068",148.95000000000
"MULTIPOINT ((470179.2593 5771605.7601))","0256",2258.00000000000
"MULTIPOINT ((470179.2593 5771605.7601))","0259",672.20000000000
"MULTIPOINT ((500858.8694 5803358.1741))","0198",1783.60000000000
"MULTIPOINT ((500996.436 5803678.5427))","0216",1783.60000000000
"MULTIPOINT ((501724.6181 5805481.5643))","0342",749.92500000000
"MULTIPOINT ((526362.3155 5724545.9753))","0251",1617.84000000000
"MULTIPOINT ((513733.0515 5739351.6396))","0192",1532.20000000000
"MULTIPOINT ((405579.5721 5784655.6988))","0186",5740.80000000000
"MULTIPOINT ((339964.2978 5661645.5569))","0478",2851.20000000000
"MULTIPOINT ((504994.0986 5729376.7562))","0215",772.84000000000
"MULTIPOINT ((513875.6583 5739508.0883))","0172",1413.21000000000
"MULTIPOINT ((375328.8943 5753338.4423))","0249",630.20000000000
"MULTIPOINT ((496530.5211 5730449.06))","0166",926.00000000000
"MULTIPOINT ((504850.8162 5729663.5576))","0420",749.70000000000
"MULTIPOINT ((332434.4164 5646633.3823))","0270",1690.50000000000
"MULTIPOINT ((505458.2072 5746332.1032))","0250",453.74000000000
"MULTIPOINT ((505384.1237 5746319.4032))","0480",404.25000000000
"MULTIPOINT ((443341.7705 5689512.3344))","0432",497.47500000000
"MULTIPOINT ((505043.9221 5729778.0788))","0197",213.15000000000
"MULTIPOINT ((481703.9171 5725902.7624))","0228",2972.10000000000
"MULTIPOINT ((496533.0002 5799768.8219))","0232",2145.60000000000
"MULTIPOINT ((501197.0428 5729358.5213))","0483",113.42000000000
"MULTIPOINT ((471537.1307 5725036.5098))","0163",603.90000000000
"MULTIPOINT ((490373.9155 5716146.8015))","0487",99.00000000000
"MULTIPOINT ((355455.1776 5611479.5361))","0183",1845.09000000000
"MULTIPOINT ((485406.084 5697469.8938))","0187",1021.96000000000
"MULTIPOINT ((420095.3375 5704948.8371))","0502",755.82000000000
"MULTIPOINT ((508799.036 5704955.1184))","0503",187.22000000000
"MULTIPOINT ((508836.5448 5705022.134))","0504",187.22000000000
"MULTIPOINT ((356101.9996 5708697.2666))","0078",249.48000000000
"MULTIPOINT ((411947.117 5709444.223))","0425",673.00000000000
"MULTIPOINT ((468193.0655 5712236.0107))","0188",2534.40000000000
"MULTIPOINT ((464748.6396 5716169.8096))","0505",749.00000000000
"MULTIPOINT ((310117.0007 5716772.0751))","0423",749.76000000000
"MULTIPOINT ((302716.391 5720952.2904))","0151",14074.37000000000
"MULTIPOINT ((502616.664 5727655.6538))","0421",749.76000000000
"MULTIPOINT ((505029.2433 5729257.8997))","0213",1223.20000000000
"MULTIPOINT ((467168.2948 5740924.3748))","0268",998.40000000000
"MULTIPOINT ((343421.3306 5744287.8353))","0508",749.36000000000
"MULTIPOINT ((433775.7696 5744909.3252))","0082",499.50000000000
"MULTIPOINT ((346855.0853 5745062.3108))","0509",749.76000000000
"MULTIPOINT ((373467.5204 5760353.8055))","0511",98.70000000000
"MULTIPOINT ((381898.1283 5773083.4335))","0414",3963.96000000000
"MULTIPOINT ((464341.57 5798737.641))","0127",1046.60000000000
"MULTIPOINT ((470807.8065 5806078.4242))","0207",1468.80000000000
"MULTIPOINT ((475909.9925 5809477.3235))","0260",1497.60000000000
"MULTIPOINT ((475836.2058 5809624.6249))","0134",1635.60000000000
"MULTIPOINT ((475826.0554 5809799.9785))","0133",2122.50000000000
"MULTIPOINT ((319945.0945 5625310.5989))","0435",749.60000000000
"MULTIPOINT ((477479.6957 5735584.1427))","0164",86.58000000000
"MULTIPOINT ((381362.7644 5772981.4521))","0341",748.44000000000
"MULTIPOINT ((407224.4172 5796846.2117))","0073",1029.00000000000
"MULTIPOINT ((417380.0416 5709202.4778))","0427",700.15000000000
"MULTIPOINT ((470845.002 5724703.485))","0105",30.82000000000
"MULTIPOINT ((471539.7642 5724976.2139))","0165",89.76000000000
"MULTIPOINT ((352620.3207 5728332.1173))","0086",604.00000000000
"MULTIPOINT ((504949.1845 5729526.2996))","0206",144.96000000000
"MULTIPOINT ((511230.1924 5737380.6225))","0519",99.00000000000
"MULTIPOINT ((509579.487 5747229.6289))","0168",1495.00000000000
"MULTIPOINT ((371651.8436 5751489.4444))","0146",1080.00000000000
"MULTIPOINT ((371727.7975 5751627.377))","0521",749.99000000000
